country,year,gdp,co2
China,1990,3385121670000.0,2483.534
China,1991,3508948004345.0,2619.143
China,1992,3755037703201.0,2731.29
China,1993,4126169229667.0,2914.284
China,1994,4438753488140.0,3093.891
China,1995,4809999898743.0,3351.197
China,1996,5127589598793.0,3499.311
China,1997,5291338914515.0,3512.35
China,1998,5338703042331.0,3355.336
China,1999,5578503091801.0,3549.949
China,2000,5952682232028.0,3643.81
China,2001,6329737256820.0,3724.114
China,2002,6814493895929.0,4098.181
China,2003,7248623080792.0,4835.251
China,2004,7830953177799.0,5210.961
China,2005,8602939667333.0,5881.991
China,2006,9489543138489.0,6486.185
China,2007,10358206113742.0,6974.663
China,2008,10799148337884.0,7492.404
China,2009,11572544299171.0,7881.491
China,2010,12858808500983.0,8610.048
China,2011,13691526496125.0,9520.153
China,2012,14773157494771.0,9767.311
China,2013,15925464549520.0,9942.371
China,2014,17103948867278.0,9976.027
China,2015,18301224436466.0,9858.04
China,2016,19545709173693.0,9748.175
China,2017,20894362082435.0,10000.014
China,2018,22294284747546.0,10346.79
China,2019,23631941251482.0,10713.515
China,2020,24151843898871.0,10896.521
China,2021,26180600167672.0,11284.401
China,2022,26966016991166.0,11711.808
India,1990,1750993000000.0,577.987
India,1991,1768493598375.0,615.388
India,1992,1851711465033.0,655.424
India,1993,1944353884791.0,677.262
India,1994,2055026658036.0,714.043
India,1995,2189535837458.0,760.48
India,1996,2345228680352.0,823.602
India,1997,2426804815330.0,857.976
India,1998,2567853125008.0,875.783
India,1999,2710353015518.0,961.194
India,2000,2804478499774.0,987.065
India,2001,2940745466088.0,1001.198
India,2002,3024984520809.0,1032.75
India,2003,3251114494190.0,1068.398
India,2004,3495022816540.0,1134.611
India,2005,3752627653422.0,1195.393
India,2006,4069856052453.0,1293.321
India,2007,4403215224414.0,1393.485
India,2008,4649548164533.0,1490.366
India,2009,4993478894185.0,1613.328
India,2010,5361371354007.0,1678.53
India,2011,5720692888000.0,1765.695
India,2012,6052427493607.0,1926.986
India,2013,6424470752490.0,1995.337
India,2014,6875186158349.0,2148.052
India,2015,7391521519812.0,2231.817
India,2016,8057465593010.0,2352.54
India,2017,8550029645172.0,2425.722
India,2018,9173201683791.0,2595.227
India,2019,9595463242427.0,2611.175
India,2020,8945313249462.0,2422.732
India,2021,9801621018003.0,2675.778
India,2022,10476248645535.0,2831.132
United States,1990,9250377579093.0,5131.761
United States,1991,9224688313722.0,5076.413
United States,1992,9552658514601.0,5178.77
United States,1993,9814940456277.0,5279.52
United States,1994,10211204686187.0,5361.863
United States,1995,10488856843750.0,5425.837
United States,1996,10886952373500.0,5601.094
United States,1997,11375561318703.0,5673.144
United States,1998,11881792533609.0,5736.36
United States,1999,12438444530000.0,5800.281
United States,2000,12947417795437.0,6023.158
United States,2001,13073810008320.0,5903.562
United States,2002,13307343638671.0,5947.819
United States,2003,13680911930765.0,6006.44
United States,2004,14198910513593.0,6111.545
United States,2005,14673826218839.0,6126.903
United States,2006,15065164240312.0,6045.326
United States,2007,15333183877566.0,6121.542
United States,2008,15288552732632.0,5919.221
United States,2009,14864003344421.0,5486.104
United States,2010,15239586726210.0,5669.25
United States,2011,15477885525000.0,5538.973
United States,2012,15830886903539.0,5331.467
United States,2013,16122472460312.0,5473.436
United States,2014,16491319003554.0,5531.385
United States,2015,16937633974582.0,5368.497
United States,2016,17220065720000.0,5245.362
United States,2017,17606124654726.0,5195.417
United States,2018,18124692769570.0,5361.236
United States,2019,18540552700117.0,5235.912
United States,2020,18027359681343.0,4689.954
United States,2021,19099378164000.0,5020.111
United States,2022,19493170182843.0,5055.403
